pose,timestamp_ms,pv1,pv2,pv3,pv4,pv5,pv6,pv7,pv8,pv9,pv10,pv11
4,294984,511,615,238,0,0,417,482,407,0,786,746
4,295988,511,617,244,0,0,417,475,407,0,786,746
4,296991,511,616,244,0,0,424,477,409,0,786,746
4,297994,512,618,254,0,0,409,480,410,0,787,748
4,298997,515,619,247,0,0,379,462,408,0,784,743
4,300001,504,612,237,0,0,419,482,407,0,786,735
4,301003,506,612,230,0,0,422,485,414,0,787,741
4,302007,506,613,240,0,0,424,488,418,0,787,742
4,303010,508,613,236,0,0,426,490,418,0,787,743
4,304014,507,614,239,0,0,419,490,418,0,787,743
4,305016,508,615,201,0,0,414,487,413,0,793,747
4,306020,513,621,257,0,0,388,465,406,0,791,745
4,307023,513,621,251,0,0,399,470,407,0,793,743
4,308026,513,613,236,0,0,408,478,415,0,792,747
4,309029,518,616,233,0,0,380,463,412,0,786,749
4,310033,520,616,234,0,0,386,453,408,0,786,749
4,311036,522,618,237,0,0,382,454,410,0,786,752
4,312039,522,616,229,0,0,381,457,411,0,787,751
4,313042,523,615,231,0,0,371,461,411,0,787,754
4,314046,542,627,231,0,0,334,402,379,0,786,755
4,315048,540,628,251,0,0,336,418,384,0,789,753
4,316052,529,676,363,31,0,410,420,297,0,804,717
4,317056,531,610,162,0,0,292,381,395,0,757,729
4,318059,519,620,200,0,0,360,382,360,0,773,767
4,319062,579,697,298,0,0,334,331,266,0,791,722
4,320065,27,0,0,0,0,0,6,0,0,0,0
5,321068,43,1,0,0,0,248,753,655,0,402,295
5,322071,134,316,0,0,0,445,686,599,0,655,560
5,323074,166,218,0,0,0,323,686,556,2,562,434
5,324077,258,311,0,0,0,154,628,605,0,577,627
5,325081,246,416,0,0,0,407,665,479,0,645,509
5,326083,251,400,0,0,0,327,670,555,0,611,515
5,327087,259,436,0,0,0,268,608,552,0,625,621
5,328089,274,461,0,0,0,300,619,555,0,650,622
5,329093,270,461,0,0,0,291,627,559,0,652,623
5,330096,249,495,0,0,0,491,701,431,0,584,353
5,331099,214,439,0,0,0,288,603,567,0,582,535
5,332102,253,490,0,0,0,273,577,556,0,585,567
5,333106,255,490,0,0,0,268,587,561,0,592,573
5,334108,263,496,0,0,0,284,598,561,0,606,579
5,335112,229,475,0,0,0,297,628,559,0,635,615
5,336114,248,464,0,0,0,332,631,568,0,625,588
5,337118,250,469,0,0,0,322,641,565,0,645,607
5,338121,241,458,0,0,0,342,645,552,0,650,581
5,339124,233,459,0,0,0,349,646,557,0,656,586
5,340127,241,471,0,0,0,349,651,555,0,657,562
5,341131,232,453,0,0,0,356,660,549,0,651,561
5,342133,258,485,0,0,0,342,638,554,0,655,570
5,343137,260,490,0,0,0,329,633,556,0,657,571
5,344140,262,493,0,0,0,331,631,556,0,660,572
5,345143,263,496,0,0,0,345,642,556,0,666,579
5,346146,279,498,0,0,0,339,632,555,0,656,556
5,347149,256,492,0,0,0,333,631,559,0,652,566
5,348152,270,495,0,0,0,352,634,535,0,654,565
5,349156,273,492,0,0,0,318,632,550,0,652,575
5,350158,263,477,0,0,0,322,634,552,0,648,571
5,351162,272,488,0,0,0,294,622,554,0,656,582
5,352165,209,427,0,0,0,362,675,559,0,656,584
5,353168,189,452,0,0,0,585,686,389,0,465,206
5,354171,127,265,0,0,7,484,721,549,0,511,318
5,355174,194,358,0,0,0,389,642,540,0,561,460
5,356177,217,367,0,0,0,401,637,554,0,579,482
5,357181,224,381,0,0,0,399,640,556,0,585,489
5,358183,229,400,0,0,0,418,653,558,0,597,487
5,359187,228,393,0,0,0,418,654,562,0,598,490
5,360190,227,389,0,0,0,420,656,565,0,601,491
